|    Service instance     |   Serivce Id  |  InstanceIdeitifer  |   Port        |
|-------------------------|---------------|---------------------|---------------|
|       TriggerIn         |     10        |        3            |   8000 udp    |
|-------------------------|---------------|---------------------|---------------|
|       TriggerOut        |     11        |        4            |   9000 udp    |
|-------------------------|---------------|---------------------|---------------|
|       TriggerInOut      |     12        |        5            |   7000 udp    |
|-------------------------|---------------|---------------------|---------------|
|     POTI_Management     |     13        |        6            |   6000 udp    |
|-------------------------|---------------|---------------------|---------------|
|        CAM_VDP          |     14        |        7            |   5000 udp    |
|-------------------------|---------------|---------------------|---------------|
|        DENM_VDP         |     15        |        8            |   4000 udp    |
|-------------------------|---------------|---------------------|---------------|
|      DENM_Control       |     16        |        9            |   3000 udp    |
|-------------------------|---------------|---------------------|---------------|
|                         |               |                     |               |
|-------------------------|---------------|---------------------|---------------|
